,ru_prov,page,ru_uezd,text,alt_name,name,_type,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id,admin1_partof,admin2_partof
13,Екатеринославскаго Намѣстничества,11,not_in_text,"АЛЕКСѢЕВСКАЯ, крѣпость Екатеринославскаго Намѣстничества по Днѣпровской линіи ; въ оной бываютъ въ году три ярмарки.",,Алексѣевская,крѣпость,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВСКАЯ, </span><span class=""font0"" style=""font-style:italic;"">крѣпость </span><span class=""font0"">Екатеринославскаго Намѣстничества по Днѣпровской линіи ; въ оной бываютъ въ году три ярмарки.</span>",Алексеевская,Екатеринославского Наместничества,not_иn_text,екатеринославск,нот_ин_теxт,екатеринославск,8.0,8.0,
14,Курскаго Намѣстничества,11,Бѣлогородскомъ уѣздѣ,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",,Алешня,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.</span>",Алешня,Курского Наместничества,Белогородском уезде,курск,белогородск,курск|белогородск,48.0,15.0,48.0
15,Тамбовскаго Намѣстничества,11,not_in_text,"АНАЕВО, село Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка въ году, на которую пріѣзжаютъ купцы изъ ближнихъ городовъсъ шелковыми , бумажными и другими мѣдочными товарами.",,Анаево,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АНАЕВО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка въ году, на которую пріѣзжаютъ купцы изъ ближнихъ городовъ</span>съ шелковыми , бумажными и другими мѣдочными товарами.",Анаево,Тамбовского Наместничества,not_иn_text,тамбовск,нот_ин_теxт,тамбовск,32.0,32.0,
16,Харьковскаго Намѣстничества,12,Изюмскомъ уѣздѣ,"АНДРЕЕВКА, слобода Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ ; въ оной бываетъ въ году двѣ ярмарки : первая Іюля 20, въ день Пророка Иліи, вторая Октября 26, въ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изъ разныхъ Росссійскихъ городовъ съ шелковыми , бумажными , гарусными и прочими товарами.",,Андреевка,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНДРЕЕВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ ; въ оной бываетъ въ году двѣ ярмарки : первая Іюля 20, въ день Пророка Иліи, вторая Октября </span><span class=""font0"" style=""font-style:italic;"">26, </span><span class=""font0"">въ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изъ разныхъ Росссійскихъ городовъ съ шелковыми , бумажными , гарусными и прочими товарами.</span>",Андреевка,Харьковского Наместничества,Изюмском уезде,харьковск,изюмск,харьковск|изюмск,69.0,37.0,69.0
17,Могилевскаго Намѣстничества,12,Рогачевскомъ уѣздѣ,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",,Антоновка,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.</span>",Антоновка,Могилевского Наместничества,Рогачевском уезде,могилевск,рогачевск,могилевск|рогачевск,113.0,16.0,113.0
18,Синбирскаго Намѣстничества,12,Алатырьскомъ уѣздѣ,"АПИЧЕРСКАЯ, пустыня Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.",,Апичерская,пустыня,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АПИЧЕРСКАЯ, </span><span class=""font0"" style=""font-style:italic;"">пустыня </span><span class=""font0"">Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.</span>",Апичерская,Синбирского Наместничества,Алатырьском уезде,синбирск,алатырьск,синбирск|алатырьск,40.0,30.0,40.0
19,Орловскаго Намѣстничества,12,Елецкомъ уѣздѣ,"АРГАМАЧЬЯ , слобода Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.",,Аргамачья,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРГАМАЧЬЯ , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.</span>",Аргамачья,Орловского Наместничества,Елецком уезде,орловск,елецк,орловск|елецк,64.0,21.0,64.0
20,Нижегородскаго Намѣстничества,12,not_in_text,"АРЗАМАСЪ, городъ Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.",,Арзамасъ,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРЗАМАСЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.</span>",Арзамас,Нижегородского Наместничества,not_иn_text,нижегородск,нот_ин_теxт,нижегородск,17.0,17.0,
21,Харьковскаго Намѣстничества,12,Харьковскаго уѣздѣ,"АРТЕМОНОВКА , слобода Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.",,Артемоновка,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРТЕМОНОВКА , </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.</span>",Артемоновка,Харьковского Наместничества,Харьковского уезде,харьковск,харьковск,харьковск|харьковск,128.0,37.0,128.0
22,Архангельскъ Намѣстничества,12,not_in_text,"АРХАНГЕЛЬСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи , кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",,Архангельскъ,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРХАНГЕЛЬСКЪ, </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-</span>жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи </span><span class=""font0"" style=""font-style:italic;"">, </span><span class=""font0"">кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",Архангельск,Архангельск Наместничества,not_иn_text,архангельск,нот_ин_теxт,архангельск,2.0,2.0,
23,Рязанскаго Намѣстничества,14,Донковскомъ уѣздѣ,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.",Змѣевка,Архангельское,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.</span>",Архангельское,Рязанского Наместничества,Донковском уезде,рязанск,донковск,рязанск|донковск,62.0,28.0,62.0
24,Тульскаго Намѣстничества,14,Веневскомъ уѣздѣ,"АСАКОВО , село Тульскаго Намѣстничества въ Веневскомъ уѣздѣ ; здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.",,Асаково,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСАКОВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Веневскомъ уѣздѣ </span><span class=""font0"" style=""font-style:italic;"">;</span><span class=""font0""> здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.</span>",Асаково,Тульского Наместничества,Веневском уезде,тульск,веневск,тульск|веневск,52.0,35.0,52.0
25,Кавказскаго Намѣстничества,14,not_in_text,"АСТРАХАНЬ , городъ Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.",,Астрахань,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСТРАХАНЬ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.</span>",Астрахань,Кавказского Наместничества,not_иn_text,кавказск,нот_ин_теxт,кавказск,10.0,10.0,
26,Пензенскаго Намѣстничества,14,Саранскомъ уѣздѣ,"АТЕМАРЪ, село Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.",,Атемаръ,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТЕМАРЪ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.</span>",Атемар,Пензенского Наместничества,Саранском уезде,пензенск,саранск,пензенск|саранск,117.0,22.0,117.0
27,Саратовскаго Намѣстничества,14,not_in_text,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торж-к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",,Аткарскъ,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТКАРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ </span><span class=""font0"" style=""font-style:italic;"">Терсѣ </span><span class=""font0"">и</span><span class=""font0"" style=""font-style:italic;""> Болондѣ</span><span class=""font0""> торж-</span>к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",Аткарск,Саратовского Наместничества,not_иn_text,саратовск,нот_ин_теxт,саратовск,29.0,29.0,
